======== Profiling result:
   Start  Duration  Name
1.55220s  4.2810us  cudaMallocAsync
1.55220s  2.0990us  cudaMallocAsync
1.55221s  732.84us  cudaMallocAsync
1.55294s  12.443us  cudaMemcpyAsync
1.55295s  6.2440us  cudaMemcpyAsync
1.55296s  17.265us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [143])
1.55298s  9.0200us  cudaMemcpyAsync
1.56779s  4.0940us  cudaMallocAsync
1.56780s  2.0100us  cudaMallocAsync
1.56780s  1.9880us  cudaMallocAsync
1.56780s  9.7570us  cudaMemcpyAsync
1.56781s  6.6340us  cudaMemcpyAsync
1.56782s  14.957us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [150])
1.56784s  8.9730us  cudaMemcpyAsync
1.58178s  797.37us  cudaMallocAsync
1.58258s  3.1070us  cudaMallocAsync
1.58258s  2.3440us  cudaMallocAsync
1.58258s  11.570us  cudaMemcpyAsync
1.58259s  6.3440us  cudaMemcpyAsync
1.58260s  19.167us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [157])
1.58262s  7.8150us  cudaMemcpyAsync
1.59806s  4.7480us  cudaMallocAsync
1.59806s  789.06us  cudaMallocAsync
1.59885s  2.9300us  cudaMallocAsync
1.59885s  12.594us  cudaMemcpyAsync
1.59887s  6.0590us  cudaMemcpyAsync
1.59888s  18.703us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [164])
1.59889s  8.1580us  cudaMemcpyAsync
1.61315s  3.8920us  cudaMallocAsync
1.61315s  2.1880us  cudaMallocAsync
1.61316s  773.43us  cudaMallocAsync
1.61393s  11.789us  cudaMemcpyAsync
1.61394s  6.2580us  cudaMemcpyAsync
1.61395s  17.091us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [171])
1.61397s  8.1340us  cudaMemcpyAsync
1.62822s  3.8880us  cudaMallocAsync
1.62823s  2.0900us  cudaMallocAsync
1.62823s  1.9430us  cudaMallocAsync
1.62823s  8.6430us  cudaMemcpyAsync
1.62824s  6.3850us  cudaMemcpyAsync
1.62825s  15.569us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [178])
1.62826s  8.7210us  cudaMemcpyAsync
1.64182s  811.42us  cudaMallocAsync
1.64263s  2.8160us  cudaMallocAsync
1.64264s  2.0610us  cudaMallocAsync
1.64264s  10.662us  cudaMemcpyAsync
1.64265s  6.1210us  cudaMemcpyAsync
1.64266s  16.911us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [185])
1.64267s  8.0640us  cudaMemcpyAsync
1.65726s  4.0700us  cudaMallocAsync
1.65726s  773.79us  cudaMallocAsync
1.65803s  2.8750us  cudaMallocAsync
1.65804s  10.320us  cudaMemcpyAsync
1.65805s  6.1820us  cudaMemcpyAsync
1.65806s  17.107us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [192])
1.65807s  8.1760us  cudaMemcpyAsync
1.68137s  8.7200us  cudaMallocAsync
1.68138s  860.98us  cudaMallocAsync
1.68224s  3.4290us  cudaMallocAsync
1.68225s  14.064us  cudaMemcpyAsync
1.68226s  6.2340us  cudaMemcpyAsync
1.68227s  18.126us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [199])
1.68229s  9.3750us  cudaMemcpyAsync
1.70440s  6.6340us  cudaMallocAsync
1.70441s  790.32us  cudaMallocAsync
1.70520s  3.3550us  cudaMallocAsync
1.70520s  14.154us  cudaMemcpyAsync
1.70522s  6.2530us  cudaMemcpyAsync
1.70523s  19.144us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [206])
1.70524s  8.4040us  cudaMemcpyAsync
1.72647s  795.78us  cudaMallocAsync
1.72727s  2.9070us  cudaMallocAsync
1.72727s  2.4060us  cudaMallocAsync
1.72728s  15.114us  cudaMemcpyAsync
1.72729s  5.9940us  cudaMemcpyAsync
1.72730s  20.648us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [213])
1.72732s  8.0830us  cudaMemcpyAsync
1.74896s  842.47us  cudaMallocAsync
1.74980s  3.2340us  cudaMallocAsync
1.74981s  2.5460us  cudaMallocAsync
1.74981s  15.638us  cudaMemcpyAsync
1.74983s  6.1400us  cudaMemcpyAsync
1.74984s  21.427us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [220])
1.74986s  8.6170us  cudaMemcpyAsync
1.76984s  783.99us  cudaMallocAsync
1.77062s  3.2520us  cudaMallocAsync
1.77063s  709.53us  cudaMallocAsync
1.77134s  15.644us  cudaMemcpyAsync
1.77135s  6.3120us  cudaMemcpyAsync
1.77136s  19.150us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [227])
1.77138s  8.3780us  cudaMemcpyAsync
1.79311s  6.5860us  cudaMallocAsync
1.79312s  2.2050us  cudaMallocAsync
1.79312s  752.80us  cudaMallocAsync
1.79387s  15.626us  cudaMemcpyAsync
1.79389s  6.3490us  cudaMemcpyAsync
1.79390s  18.525us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [234])
1.79392s  8.0930us  cudaMemcpyAsync
1.81731s  8.0520us  cudaMallocAsync
1.81732s  2.1050us  cudaMallocAsync
1.81732s  785.20us  cudaMallocAsync
1.81810s  16.347us  cudaMemcpyAsync
1.81812s  6.4780us  cudaMemcpyAsync
1.81813s  20.090us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [241])
1.81815s  8.3570us  cudaMemcpyAsync
1.83960s  6.4590us  cudaMallocAsync
1.83961s  2.1120ms  cudaMallocAsync
1.84172s  3.1600us  cudaMallocAsync
1.84173s  15.837us  cudaMemcpyAsync
1.84174s  6.3460us  cudaMemcpyAsync
1.84175s  21.404us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [248])
1.84177s  8.5550us  cudaMemcpyAsync
1.86452s  6.6780us  cudaMallocAsync
1.86453s  803.01us  cudaMallocAsync
1.86533s  3.1720us  cudaMallocAsync
1.86533s  15.230us  cudaMemcpyAsync
1.86535s  5.9580us  cudaMemcpyAsync
1.86536s  20.074us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [255])
1.86538s  8.5960us  cudaMemcpyAsync
1.88994s  6.8140us  cudaMallocAsync
1.88994s  797.62us  cudaMallocAsync
1.89074s  3.1860us  cudaMallocAsync
1.89075s  16.392us  cudaMemcpyAsync
1.89076s  6.3950us  cudaMemcpyAsync
1.89077s  19.842us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [262])
1.89079s  7.9200us  cudaMemcpyAsync
1.89802s  5.1190us  cudaMallocAsync
1.89802s  2.3850us  cudaMallocAsync
1.89803s  737.83us  cudaMallocAsync
1.89877s  10.365us  cudaMemcpyAsync
1.89878s  6.2440us  cudaMemcpyAsync
1.89878s  16.718us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [269])
1.89880s  8.5040us  cudaMemcpyAsync
1.90556s  3.9120us  cudaMallocAsync
1.90557s  2.3040us  cudaMallocAsync
1.90557s  2.2870us  cudaMallocAsync
1.90557s  8.5190us  cudaMemcpyAsync
1.90558s  6.2540us  cudaMemcpyAsync
1.90559s  11.963us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [276])
1.90560s  7.3230us  cudaMemcpyAsync
1.91193s  3.5370us  cudaMallocAsync
1.91193s  2.1640us  cudaMallocAsync
1.91193s  2.3060us  cudaMallocAsync
1.91194s  7.7010us  cudaMemcpyAsync
1.91195s  5.7980us  cudaMemcpyAsync
1.91195s  10.852us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [283])
1.91196s  7.3580us  cudaMemcpyAsync
1.91904s  3.3200us  cudaMallocAsync
1.91905s  804.00us  cudaMallocAsync
1.91985s  3.0490us  cudaMallocAsync
1.91985s  8.6170us  cudaMemcpyAsync
1.91986s  6.2400us  cudaMemcpyAsync
1.91987s  11.763us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [290])
1.91988s  7.5100us  cudaMemcpyAsync
1.92726s  3.4380us  cudaMallocAsync
1.92726s  2.3340us  cudaMallocAsync
1.92726s  2.5170us  cudaMallocAsync
1.92727s  7.5270us  cudaMemcpyAsync
1.92727s  5.9100us  cudaMemcpyAsync
1.92728s  10.012us  cudaLaunchKernel (vector_add_kernel(float const *, float const *, float*, int) [297])
